UBIGEO,UBIGEO_INEI,DEPARTAMENTO,PROVINCIA,DISTRITO,pobreza_inf_2018,pobreza_sup_2018,pobreza_mid_2018,grupo_robusto,rank_pobreza,pob2020,valid_candidates,jpp_votes,fp_votes,rp_votes,jpp_share,fp_share,rp_share,jpp_minus_fp_share
010418,010519,Amazonas,Luya,San Juan De Lopecancha,44.31131008,66.98224592,55.646778,6.0,187.0,434.0,214,51,59,1,0.2383177570093458,0.2757009345794392,0.004672897196261682,-0.037383177570093434
010419,010520,Amazonas,Luya,Santa Catalina,50.50613924,70.09979276,60.302966,5.0,112.0,2145.0,788,371,185,9,0.47081218274111675,0.23477157360406092,0.011421319796954314,0.23604060913705582
010420,010521,Amazonas,Luya,Santo Tomás,38.435242079999995,55.52321592,46.979229,8.0,457.0,3070.0,1096,248,290,39,0.22627737226277372,0.2645985401459854,0.035583941605839414,-0.03832116788321166
010421,010522,Amazonas,Luya,Tingo,31.025713359999997,49.006886640000005,40.0163,9.0,712.0,1375.0,808,140,233,22,0.17326732673267325,0.28836633663366334,0.027227722772277228,-0.11509900990099009
010422,010523,Amazonas,Luya,Trita,39.79076628,60.32581172,50.058289,7.0,360.0,1457.0,669,254,87,19,0.3796711509715994,0.13004484304932734,0.028400597907324365,0.24962630792227208
010423,010515,Amazonas,Luya,Providencia,44.15165096,65.31543304,54.733542,6.0,207.0,1389.0,481,175,37,8,0.36382536382536385,0.07692307692307693,0.016632016632016633,0.2869022869022869
010501,010601,Amazonas,Rodríguez De Mendoza,San Nicolás,15.2550618,26.3876462,20.821354,15.0,1408.0,6499.0,2155,209,410,248,0.09698375870069606,0.1902552204176334,0.11508120649651972,-0.09327146171693734
010502,010603,Amazonas,Rodríguez De Mendoza,Cochamal,23.684252640000004,43.17288936,33.428571000000005,11.0,963.0,636.0,421,69,78,24,0.16389548693586697,0.18527315914489312,0.057007125890736345,-0.021377672209026144
010503,010602,Amazonas,Rodríguez De Mendoza,Chirimoto,30.447374840000002,46.45095516,38.449165,10.0,780.0,2877.0,710,283,127,22,0.39859154929577467,0.17887323943661973,0.030985915492957747,0.21971830985915494
010504,010604,Amazonas,Rodríguez De Mendoza,Huambo,17.02042432,28.92157568,22.971,14.0,1343.0,2664.0,1217,69,311,165,0.056696795398520954,0.25554642563681185,0.13557929334428923,-0.1988496302382909
010505,010605,Amazonas,Rodríguez De Mendoza,Limabamba,29.16430648,45.702539519999995,37.433423,10.0,818.0,2431.0,628,91,97,97,0.1449044585987261,0.15445859872611464,0.15445859872611464,-0.009554140127388533
010506,010606,Amazonas,Rodríguez De Mendoza,Longar,18.53706416,33.10693584,25.822,14.0,1222.0,1673.0,763,76,155,83,0.09960681520314547,0.20314547837483618,0.10878112712975098,-0.1035386631716907
010507,010608,Amazonas,Rodríguez De Mendoza,Milpucc,21.333211400000003,41.8750306,31.604121000000003,12.0,1036.0,419.0,225,38,67,6,0.1688888888888889,0.29777777777777775,0.02666666666666667,-0.12888888888888886
010508,010607,Amazonas,Rodríguez De Mendoza,Mariscal Benavides,15.223231999999998,29.012714,22.117973,14.0,1373.0,1559.0,897,107,233,76,0.11928651059085842,0.25975473801560756,0.08472686733556299,-0.14046822742474913
010509,010609,Amazonas,Rodríguez De Mendoza,Omia,31.104226719999993,47.91247328,39.50834999999999,9.0,736.0,10028.0,2923,1042,528,124,0.35648306534382485,0.18063633253506672,0.04242216900444749,0.17584673280875812
010510,010610,Amazonas,Rodríguez De Mendoza,Santa Rosa,15.698391319999999,33.20916068,24.453775999999998,14.0,1274.0,529.0,308,18,78,33,0.05844155844155844,0.2532467532467532,0.10714285714285714,-0.1948051948051948
010511,010611,Amazonas,Rodríguez De Mendoza,Totora,17.02042432,28.92157568,22.971,14.0,1344.0,288.0,213,27,54,32,0.1267605633802817,0.2535211267605634,0.15023474178403756,-0.1267605633802817
010512,010612,Amazonas,Rodríguez De Mendoza,Vista Alegre,42.14688824,60.328655760000004,51.23777200000001,7.0,330.0,4048.0,1023,535,153,15,0.52297165200391,0.1495601173020528,0.01466275659824047,0.3734115347018573
010601,010401,Amazonas,Condorcanqui,Nieva,43.32488604,59.48763796000001,51.406262000000005,7.0,324.0,20847.0,7221,4913,442,103,0.6803766791303144,0.06121035867608365,0.014263952361168813,0.6191663204542308
010602,010403,Amazonas,Condorcanqui,Río Santiago,51.95831559999999,67.78635440000001,59.872335,5.0,119.0,17960.0,3529,2572,121,16,0.7288183621422499,0.034287333522244265,0.004533862283933126,0.6945310286200057
010603,010402,Amazonas,Condorcanqui,El Cenepa,54.273971079999995,71.55079092,62.912380999999996,4.0,91.0,12537.0,3853,2999,53,31,0.7783545289384894,0.013755515182974305,0.008045678691928368,0.7645990137555151
010701,010701,Amazonas,Utcubamba,Bagua Grande,18.31677144,30.68921656,24.502994,14.0,1271.0,57746.0,22388,7410,4249,789,0.330980882615687,0.1897891727711274,0.035242093978917276,0.1411917098445596
010702,010702,Amazonas,Utcubamba,Cajaruro,28.850292040000003,43.00894396,35.929618000000005,10.0,884.0,24525.0,10636,4699,1732,183,0.44180142910868747,0.16284317412561114,0.017205716434749906,0.27895825498307636
010703,010703,Amazonas,Utcubamba,Cumba,29.668554959999998,45.22164104,37.445098,10.0,817.0,8760.0,3585,1580,685,76,0.4407252440725244,0.1910739191073919,0.021199442119944213,0.24965132496513248
010704,010704,Amazonas,Utcubamba,El Milagro,19.97307484,33.45119516,26.712134999999996,13.0,1190.0,6503.0,2879,1105,735,104,0.38381382424452937,0.2552969781174019,0.03612365404654394,0.1285168461271275
010705,010705,Amazonas,Utcubamba,Jamalca,28.360593639999998,42.58898236,35.474788000000004,10.0,894.0,7215.0,2943,1495,445,48,0.507985049269453,0.15120625212368333,0.0163098878695209,0.35677879714576965
010706,010706,Amazonas,Utcubamba,Lonya Grande,24.93792188,39.71827012,32.328096,11.0,997.0,11300.0,3737,1405,653,123,0.375970029435376,0.17473909553117473,0.032914102221032915,0.20123093390420127
010707,010707,Amazonas,Utcubamba,Yamon,30.2770572,46.5064648,38.391761,10.0,782.0,3245.0,1523,607,277,58,0.3985554826001313,0.1818778726198293,0.03808273145108339,0.216677609980302
020101,020101,Áncash,Huaraz,Huaraz,7.780232440000001,12.70467756,10.242455,19.0,1726.0,68466.0,32191,2753,4373,2440,0.08552079773849834,0.13584542263365537,0.0757975831754217,-0.05032462489515703
020102,020105,Áncash,Huaraz,Independencia,8.239066000000001,14.836327999999998,11.537697,18.0,1693.0,87112.0,34682,3594,5114,2135,0.10362724179689753,0.14745401072602501,0.06155931030505738,-0.043826768929127485
020103,020102,Áncash,Huaraz,Cochabamba,37.35411596,64.72864804,51.041382,7.0,334.0,1698.0,668,203,159,19,0.30389221556886226,0.23802395209580837,0.02844311377245509,0.06586826347305388
020104,020103,Áncash,Huaraz,Colcabamba,29.004868800000004,51.6515712,40.32822,9.0,697.0,274.0,151,23,25,4,0.152317880794702,0.16556291390728478,0.026490066225165563,-0.013245033112582794
020105,020104,Áncash,Huaraz,Huanchay,20.526182760000005,45.90100524,33.213594,11.0,971.0,1652.0,769,285,172,16,0.3706111833550065,0.22366710013003901,0.02080624187256177,0.14694408322496746
020106,020106,Áncash,Huaraz,Jangas,15.536164999999999,31.211460999999996,23.373813,14.0,1329.0,5206.0,2900,680,542,102,0.23448275862068965,0.18689655172413794,0.03517241379310345,0.047586206896551714
020107,020107,Áncash,Huaraz,La Libertad,26.6013592,54.301764799999994,40.451561999999996,9.0,693.0,1110.0,716,83,124,13,0.11592178770949721,0.17318435754189945,0.018156424581005588,-0.057262569832402244
020108,020108,Áncash,Huaraz,Olleros,18.442534400000003,36.718985599999996,27.580759999999998,12.0,1174.0,2507.0,1509,395,230,35,0.2617627567925779,0.15241882041086813,0.023194168323392977,0.10934393638170975
